name,input_cov,config_cov,api_cov
2,0.12248996,0.012702893,0.010519395
4,0.128514056,0.012702893,0.012491782
6,0.138554217,0.012702893,0.013149244
8,0.16064257,0.012702893,0.015779093
10,0.164658635,0.012702893,0.016436555
12,0.172690763,0.012702893,0.016436555
14,0.172690763,0.012702893,0.017751479
16,0.174698795,0.012702893,0.017751479
18,0.176706827,0.012702893,0.019066404
20,0.176706827,0.012702893,0.019723866
22,0.202811245,0.014114326,0.023011177
24,0.210843373,0.014114326,0.023011177
26,0.190763052,0.012702893,0.02103879
28,0.190763052,0.012702893,0.02103879
30,0.21686747,0.014114326,0.024326101
32,0.224899598,0.014114326,0.025641026
34,0.248995984,0.020465773,0.029585799
36,0.251004016,0.020465773,0.029585799
38,0.251004016,0.020465773,0.030243261
40,0.251004016,0.020465773,0.030243261
42,0.180722892,0.012702893,0.019066404
44,0.178714859,0.014114326,0.019066404
46,0.180722892,0.014114326,0.02103879
48,0.182730924,0.014114326,0.02103879
50,0.18875502,0.015525759,0.022353715
52,0.196787149,0.015525759,0.023668639
54,0.196787149,0.015525759,0.023668639
56,0.178714859,0.014114326,0.019066404
58,0.210843373,0.015525759,0.023668639
60,0.210843373,0.015525759,0.023668639
62,0.184738956,0.012702893,0.020381328
64,0.190763052,0.012702893,0.022353715
66,0.208835341,0.012702893,0.024983563
68,0.174698795,0.012702893,0.017751479
70,0.180722892,0.012702893,0.019723866
72,0.18875502,0.012702893,0.021696252
74,0.196787149,0.014114326,0.023011177
76,0.204819277,0.014114326,0.024326101
78,0.204819277,0.014114326,0.024326101
80,0.190763052,0.012702893,0.019066404
82,0.192771084,0.012702893,0.019723866
84,0.200803213,0.012702893,0.022353715
86,0.202811245,0.012702893,0.022353715
88,0.172690763,0.012702893,0.017751479
90,0.184738956,0.014114326,0.020381328
92,0.178714859,0.012702893,0.018408941
94,0.172690763,0.012702893,0.017751479
96,0.174698795,0.012702893,0.018408941
98,0.172690763,0.012702893,0.017751479
