name,input_cov,config_cov,api_cov
2,0.074297189,0.012702893,0.006574622
4,0.080321285,0.014114326,0.007889546
6,0.082329317,0.014114326,0.007889546
8,0.086345382,0.014114326,0.008547009
10,0.082329317,0.014114326,0.007889546
12,0.084337349,0.014114326,0.007889546
14,0.112449799,0.014114326,0.011176857
16,0.118473896,0.014114326,0.013149244
18,0.084337349,0.014114326,0.007889546
20,0.082329317,0.014114326,0.007889546
22,0.084337349,0.014114326,0.008547009
24,0.086345382,0.014114326,0.008547009
26,0.088353414,0.014114326,0.010519395
28,0.088353414,0.014114326,0.010519395
30,0.09437751,0.014114326,0.013149244
32,0.09437751,0.014114326,0.013149244
34,0.09437751,0.014114326,0.013149244
36,0.100401606,0.014114326,0.013806706
38,0.100401606,0.014114326,0.013806706
40,0.100401606,0.014114326,0.013806706
42,0.100401606,0.014114326,0.013149244
44,0.116465863,0.015525759,0.012491782
46,0.120481928,0.015525759,0.014464168
48,0.12248996,0.015525759,0.013806706
50,0.124497992,0.015525759,0.015121631
52,0.124497992,0.015525759,0.015121631
54,0.124497992,0.015525759,0.016436555
56,0.124497992,0.015525759,0.017094017
58,0.086345382,0.014114326,0.008547009
60,0.116465863,0.015525759,0.01183432
62,0.120481928,0.015525759,0.015121631
64,0.114457831,0.015525759,0.015121631
66,0.114457831,0.015525759,0.015121631
68,0.124497992,0.015525759,0.016436555
70,0.124497992,0.015525759,0.016436555
72,0.12248996,0.015525759,0.015121631
74,0.12248996,0.015525759,0.014464168
76,0.124497992,0.015525759,0.016436555
78,0.124497992,0.015525759,0.016436555
80,0.120481928,0.015525759,0.015121631
82,0.138554217,0.015525759,0.017094017
84,0.138554217,0.015525759,0.017751479
86,0.140562249,0.015525759,0.018408941
88,0.142570281,0.015525759,0.019723866
90,0.140562249,0.015525759,0.018408941
92,0.140562249,0.015525759,0.018408941
94,0.140562249,0.015525759,0.018408941
96,0.140562249,0.015525759,0.018408941
98,0.140562249,0.015525759,0.018408941
