name,input_cov,config_cov,api_cov
2,0.092369478,0.009880028,0.00591716
4,0.100401606,0.009880028,0.007889546
6,0.130522088,0.009880028,0.01183432
8,0.15060241,0.009880028,0.014464168
10,0.162650602,0.010585745,0.017751479
12,0.194779116,0.010585745,0.02103879
14,0.214859438,0.010585745,0.024983563
16,0.214859438,0.010585745,0.024983563
18,0.120481928,0.009880028,0.009861933
20,0.142570281,0.009880028,0.013149244
22,0.158634538,0.009880028,0.015779093
24,0.180722892,0.009880028,0.019066404
26,0.190763052,0.009880028,0.019723866
28,0.208835341,0.009880028,0.02103879
30,0.112449799,0.009880028,0.009204471
32,0.124497992,0.009880028,0.009861933
34,0.130522088,0.009880028,0.013806706
36,0.13253012,0.009880028,0.013806706
38,0.13253012,0.009880028,0.013806706
40,0.12248996,0.009880028,0.010519395
42,0.158634538,0.009880028,0.015779093
44,0.116465863,0.009880028,0.009861933
46,0.124497992,0.009880028,0.013149244
48,0.128514056,0.009880028,0.013149244
50,0.13253012,0.009880028,0.013149244
52,0.134538153,0.009880028,0.013149244
54,0.148594378,0.014114326,0.015121631
56,0.098393574,0.009880028,0.007232084
58,0.13253012,0.010585745,0.013149244
60,0.148594378,0.011291461,0.015779093
62,0.178714859,0.011291461,0.020381328
64,0.210843373,0.011291461,0.023668639
66,0.222891566,0.011291461,0.025641026
68,0.240963855,0.015525759,0.027613412
70,0.248995984,0.015525759,0.027613412
72,0.259036145,0.015525759,0.027613412
74,0.261044177,0.015525759,0.028928337
76,0.279116466,0.021877205,0.031558185
78,0.279116466,0.021877205,0.031558185
80,0.098393574,0.011291461,0.007889546
82,0.102409639,0.011291461,0.009861933
84,0.106425703,0.011291461,0.009861933
86,0.114457831,0.011997177,0.010519395
88,0.12248996,0.011997177,0.011176857
90,0.098393574,0.009880028,0.006574622
92,0.130522088,0.009880028,0.011176857
94,0.184738956,0.009880028,0.017094017
96,0.194779116,0.009880028,0.019066404
98,0.206827309,0.011291461,0.020381328
