name,input_cov,config_cov,api_cov
2,0.112449799,0.012702893,0.009204471
4,0.118473896,0.014114326,0.011176857
6,0.144578313,0.014114326,0.015121631
8,0.182730924,0.015525759,0.019723866
10,0.186746988,0.015525759,0.02103879
12,0.192771084,0.015525759,0.022353715
14,0.192771084,0.015525759,0.022353715
16,0.202811245,0.015525759,0.023668639
18,0.198795181,0.015525759,0.023668639
20,0.194779116,0.015525759,0.022353715
22,0.196787149,0.015525759,0.022353715
24,0.202811245,0.015525759,0.023668639
26,0.208835341,0.015525759,0.024983563
28,0.204819277,0.015525759,0.024326101
30,0.204819277,0.015525759,0.024326101
32,0.208835341,0.015525759,0.024983563
34,0.210843373,0.015525759,0.024983563
36,0.224899598,0.015525759,0.026298488
38,0.224899598,0.015525759,0.026298488
40,0.210843373,0.015525759,0.024983563
42,0.210843373,0.015525759,0.024983563
44,0.212851406,0.015525759,0.024983563
46,0.212851406,0.015525759,0.024983563
48,0.214859438,0.015525759,0.026298488
50,0.21686747,0.015525759,0.026298488
52,0.234939759,0.015525759,0.027613412
54,0.242971888,0.015525759,0.029585799
56,0.25502008,0.021877205,0.030900723
58,0.251004016,0.021877205,0.031558185
60,0.251004016,0.021877205,0.031558185
62,0.212851406,0.015525759,0.024983563
64,0.224899598,0.021877205,0.026298488
66,0.224899598,0.021877205,0.026298488
68,0.214859438,0.015525759,0.026298488
70,0.214859438,0.016937191,0.026298488
72,0.218875502,0.016937191,0.027613412
74,0.234939759,0.016937191,0.029585799
76,0.208835341,0.015525759,0.024983563
78,0.214859438,0.015525759,0.026298488
80,0.230923695,0.015525759,0.027613412
82,0.234939759,0.015525759,0.027613412
84,0.238955823,0.015525759,0.028928337
86,0.240963855,0.015525759,0.029585799
88,0.240963855,0.015525759,0.029585799
90,0.240963855,0.015525759,0.029585799
92,0.224899598,0.021877205,0.026298488
94,0.234939759,0.021877205,0.02695595
96,0.236947791,0.021877205,0.02695595
98,0.236947791,0.021877205,0.027613412
