name,input_cov,config_cov,api_cov
2,0.076305221,0.00564573,0.007232084
4,0.076305221,0.00564573,0.007232084
6,0.090361446,0.00564573,0.007889546
8,0.100401606,0.007057163,0.011176857
10,0.096385542,0.007057163,0.009204471
12,0.100401606,0.007057163,0.009861933
14,0.102409639,0.007057163,0.009861933
16,0.102409639,0.007057163,0.009861933
18,0.102409639,0.007057163,0.011176857
20,0.102409639,0.007057163,0.011176857
22,0.102409639,0.007057163,0.012491782
24,0.102409639,0.007057163,0.012491782
26,0.102409639,0.007057163,0.012491782
28,0.102409639,0.007057163,0.012491782
30,0.102409639,0.007057163,0.012491782
32,0.108433735,0.012702893,0.01183432
34,0.096385542,0.007057163,0.010519395
36,0.096385542,0.007057163,0.010519395
38,0.114457831,0.007057163,0.01183432
40,0.116465863,0.007057163,0.013806706
42,0.120481928,0.007057163,0.013806706
44,0.124497992,0.007057163,0.014464168
46,0.096385542,0.007057163,0.009204471
48,0.096385542,0.007057163,0.009204471
50,0.104417671,0.007057163,0.009204471
52,0.09437751,0.007057163,0.009861933
54,0.102409639,0.007057163,0.012491782
56,0.092369478,0.007057163,0.009204471
58,0.096385542,0.007057163,0.010519395
60,0.096385542,0.007057163,0.010519395
62,0.096385542,0.007057163,0.010519395
64,0.106425703,0.007057163,0.013149244
66,0.106425703,0.007057163,0.013149244
68,0.13253012,0.007057163,0.017751479
70,0.15060241,0.009880028,0.018408941
72,0.168674699,0.009880028,0.020381328
74,0.106425703,0.007057163,0.013149244
76,0.106425703,0.007057163,0.013149244
78,0.106425703,0.007057163,0.013149244
80,0.106425703,0.007057163,0.013149244
82,0.106425703,0.007057163,0.013149244
84,0.106425703,0.007057163,0.013149244
86,0.106425703,0.007057163,0.013149244
88,0.118473896,0.012702893,0.014464168
90,0.152610442,0.015525759,0.019066404
92,0.152610442,0.015525759,0.019066404
94,0.154618474,0.015525759,0.019723866
96,0.106425703,0.007057163,0.013149244
98,0.106425703,0.007057163,0.013806706
