name,input_cov,config_cov,api_cov
2,0.084337349,0.011291461,0.009204471
4,0.050200803,0.009880028,0.007232084
6,0.0562249,0.011291461,0.008547009
8,0.068273092,0.011291461,0.009204471
10,0.068273092,0.011291461,0.009204471
12,0.108433735,0.012702893,0.013149244
14,0.102409639,0.012702893,0.012491782
16,0.102409639,0.012702893,0.012491782
18,0.108433735,0.012702893,0.013149244
20,0.106425703,0.012702893,0.013149244
22,0.106425703,0.012702893,0.013149244
24,0.074297189,0.011291461,0.009861933
26,0.070281124,0.011291461,0.007889546
28,0.070281124,0.011291461,0.007889546
30,0.130522088,0.009880028,0.014464168
32,0.062248996,0.00564573,0.007232084
34,0.06626506,0.007057163,0.007889546
36,0.06626506,0.001411433,0.007232084
38,0.060240964,0.001411433,0.006574622
40,0.06626506,0.007057163,0.007889546
42,0.062248996,0.006351447,0.006574622
44,0.070281124,0.011291461,0.007889546
46,0.070281124,0.011291461,0.007889546
48,0.080321285,0.011291461,0.009861933
50,0.068273092,0.011291461,0.009204471
52,0.068273092,0.011291461,0.009204471
54,0.068273092,0.011291461,0.009204471
56,0.068273092,0.011291461,0.009204471
58,0.084337349,0.006351447,0.008547009
60,0.084337349,0.006351447,0.008547009
62,0.064257028,0.011291461,0.007889546
64,0.070281124,0.011291461,0.007889546
66,0.06626506,0.011291461,0.008547009
68,0.06626506,0.011291461,0.008547009
70,0.06626506,0.011291461,0.008547009
72,0.062248996,0.00564573,0.007232084
74,0.062248996,0.00564573,0.007232084
76,0.064257028,0.011291461,0.007889546
78,0.060240964,0.007057163,0.007232084
80,0.070281124,0.011291461,0.007889546
82,0.06626506,0.011291461,0.008547009
84,0.06626506,0.011291461,0.008547009
86,0.06626506,0.011291461,0.008547009
88,0.064257028,0.007057163,0.007232084
90,0.054216867,0.001411433,0.004602235
92,0.06626506,0.011291461,0.008547009
94,0.086345382,0.011291461,0.010519395
96,0.070281124,0.011291461,0.007889546
98,0.076305221,0.017642908,0.009204471
