name,input_cov,config_cov,api_cov
2,0.206827309,0.011291461,0.020381328
4,0.088353414,0.00564573,0.009861933
6,0.092369478,0.00564573,0.010519395
8,0.114457831,0.008468596,0.013806706
10,0.148594378,0.014114326,0.017751479
12,0.148594378,0.014114326,0.018408941
14,0.148594378,0.014114326,0.018408941
16,0.148594378,0.014114326,0.018408941
18,0.148594378,0.014114326,0.018408941
20,0.148594378,0.014114326,0.018408941
22,0.148594378,0.014114326,0.018408941
24,0.148594378,0.014114326,0.019066404
26,0.164658635,0.014820042,0.02103879
28,0.164658635,0.014820042,0.02103879
30,0.098393574,0.006351447,0.011176857
32,0.140562249,0.011997177,0.015779093
34,0.140562249,0.011997177,0.016436555
36,0.140562249,0.011997177,0.016436555
38,0.140562249,0.011997177,0.016436555
40,0.144578313,0.011997177,0.017751479
42,0.146586345,0.011997177,0.017751479
44,0.148594378,0.011997177,0.018408941
46,0.148594378,0.011997177,0.018408941
48,0.100401606,0.006351447,0.011176857
50,0.112449799,0.006351447,0.013149244
52,0.114457831,0.006351447,0.013806706
54,0.104417671,0.006351447,0.013149244
56,0.112449799,0.006351447,0.013149244
58,0.12248996,0.007762879,0.013806706
60,0.128514056,0.008468596,0.015121631
62,0.158634538,0.008468596,0.019066404
64,0.16064257,0.008468596,0.019723866
66,0.162650602,0.008468596,0.020381328
68,0.162650602,0.008468596,0.020381328
70,0.078313253,0.00564573,0.009204471
72,0.108433735,0.00564573,0.013149244
74,0.13253012,0.011291461,0.016436555
76,0.138554217,0.012702893,0.017751479
78,0.138554217,0.012702893,0.017751479
80,0.078313253,0.00564573,0.007889546
82,0.086345382,0.00564573,0.009204471
84,0.092369478,0.007057163,0.010519395
86,0.092369478,0.007057163,0.010519395
88,0.096385542,0.007057163,0.011176857
90,0.096385542,0.007057163,0.011176857
92,0.102409639,0.007057163,0.012491782
94,0.102409639,0.007057163,0.012491782
96,0.086345382,0.00564573,0.009204471
98,0.086345382,0.00564573,0.009861933
