name,input_cov,config_cov,api_cov
2,0.116465863,0.012702893,0.008547009
4,0.146586345,0.014114326,0.013806706
6,0.116465863,0.012702893,0.008547009
8,0.138554217,0.014114326,0.009861933
10,0.148594378,0.014114326,0.011176857
12,0.176706827,0.015525759,0.015779093
14,0.202811245,0.015525759,0.019723866
16,0.21686747,0.015525759,0.020381328
18,0.218875502,0.015525759,0.021696252
20,0.220883534,0.015525759,0.023011177
22,0.220883534,0.015525759,0.023011177
24,0.12248996,0.012702893,0.009861933
26,0.144578313,0.012702893,0.012491782
28,0.144578313,0.012702893,0.012491782
30,0.12248996,0.012702893,0.009861933
32,0.12248996,0.012702893,0.009861933
34,0.126506024,0.012702893,0.009204471
36,0.152610442,0.012702893,0.011176857
38,0.116465863,0.012702893,0.009204471
40,0.116465863,0.012702893,0.009204471
42,0.116465863,0.012702893,0.009204471
44,0.13253012,0.012702893,0.010519395
46,0.13253012,0.012702893,0.010519395
48,0.13253012,0.012702893,0.010519395
50,0.152610442,0.014114326,0.013149244
52,0.158634538,0.014114326,0.015779093
54,0.156626506,0.020465773,0.01183432
56,0.162650602,0.020465773,0.013149244
58,0.182730924,0.020465773,0.017751479
60,0.184738956,0.020465773,0.018408941
62,0.214859438,0.021877205,0.021696252
64,0.214859438,0.021877205,0.021696252
66,0.15060241,0.014114326,0.01183432
68,0.156626506,0.014114326,0.013806706
70,0.156626506,0.014114326,0.015121631
72,0.204819277,0.015525759,0.021696252
74,0.204819277,0.015525759,0.023011177
76,0.204819277,0.015525759,0.023011177
78,0.208835341,0.015525759,0.023011177
80,0.208835341,0.015525759,0.023668639
82,0.208835341,0.015525759,0.024326101
84,0.21686747,0.021877205,0.025641026
86,0.21686747,0.021877205,0.025641026
88,0.21686747,0.021877205,0.025641026
90,0.154618474,0.014114326,0.01183432
92,0.154618474,0.014114326,0.013806706
94,0.154618474,0.014114326,0.013806706
96,0.168674699,0.020465773,0.015779093
98,0.170682731,0.020465773,0.017094017
