name,input_cov,config_cov,api_cov,op_type_cov,op_num_cov,edge_cov,out_diversity
2,0,0,0,0,0,0,0
4.0,0.0642570281124498,0.004234297812279464,0.006574621959237344,0.2916666666666667,0.025404157043879907,0.03009259259259259,7.0
6.0,0.0823293172690763,0.004234297812279464,0.009204470742932281,0.3333333333333333,0.03233256351039261,0.037037037037037035,8.0
8.0,0.08433734939759036,0.0056457304163726185,0.009861932938856016,0.3333333333333333,0.03464203233256351,0.03935185185185185,8.0
10,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
14.0,0.09036144578313253,0.0056457304163726185,0.011176857330703484,0.3333333333333333,0.046189376443418015,0.05092592592592592,8.0
16.0,0.09036144578313253,0.0056457304163726185,0.011176857330703484,0.3333333333333333,0.04849884526558892,0.05324074074074074,8.0
18,0,0,0,0,0,0,0
20.0,0.10240963855421686,0.009880028228652082,0.011834319526627219,0.3333333333333333,0.057736720554272515,0.0625,8.0
22.0,0.11847389558232932,0.009880028228652082,0.014464168310322156,0.3333333333333333,0.07852193995381063,0.08333333333333333,8.0
24,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
42.0,0.12248995983935743,0.009880028228652082,0.014464168310322156,0.3333333333333333,0.08775981524249422,0.09259259259259259,8.0
44,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
